Symbol	Name	LastSale	MarketCap	ADR TSO	IPOyear	Sector	Industry	Summary Quote
BRN	"Barnwell Industries, Inc."	3.32	27480171.2	n/a	n/a	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/brn
BXE	Bellatrix Exploration Ltd	4.35	468504891.9	n/a	n/a	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/bxe
BIR^A	"Berkshire Income Realty, Inc."	26.5	0	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/bir^a
BTX	"BioTime, Inc."	3.31	168461523.2	n/a	n/a	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	http://www.nasdaq.com/symbol/btx
BMJ	Birks & Mayors Inc.	0.76	11273544.36	n/a	n/a	Consumer Services	Consumer Specialties	http://www.nasdaq.com/symbol/bmj
BZM	BlackRock Maryland Municipal Bond Trust	16.5	34184419.5	n/a	2002	n/a	n/a	http://www.nasdaq.com/symbol/bzm
BLE	BlackRock Municipal Income Trust II	16.59	388237272.2	n/a	1992	n/a	n/a	http://www.nasdaq.com/symbol/ble
BLJ	Blackrock New Jersey Municipal Bond Trust	17.3	40182450.5	n/a	2002	n/a	n/a	http://www.nasdaq.com/symbol/blj
BFY	BlackRock New York Municipal Income Trust II	16.41	81813646.77	n/a	2002	n/a	n/a	http://www.nasdaq.com/symbol/bfy
BPS	BlackRock Pennsylvania Strategic Municipal Trust (The)	15.76	31970405.04	n/a	1994	n/a	n/a	http://www.nasdaq.com/symbol/bps
BHV	BlackRock Virginia Municipal Bond Trust	19.3	30520537.5	n/a	2002	n/a	n/a	http://www.nasdaq.com/symbol/bhv
BDR	"Blonder Tongue Laboratories, Inc."	1.09	6774956.04	n/a	1995	Technology	Radio And Television Broadcasting And Communications Equipment	http://www.nasdaq.com/symbol/bdr
BVX	Bovie Medical Corporation	2.45	43560906.9	n/a	n/a	Health Care	Medical/Dental Instruments	http://www.nasdaq.com/symbol/bvx
BWL/A	"Bowl America, Inc."	12.0822	0	n/a	n/a	Consumer Services	Services-Misc. Amusement & Recreation	http://www.nasdaq.com/symbol/bwl/a
BZC	Breeze-Eastern Corporation	8.25	78508592.25	n/a	n/a	Capital Goods	Military/Government/Technical	http://www.nasdaq.com/symbol/bzc
BRD	Brigus Gold Corp	0.9599	216887663.7	n/a	n/a	Basic Industries	Precious Metals	http://www.nasdaq.com/symbol/brd
BTI	"British American Tobacco  Industries, p.l.c."	101.37	98739713278	n/a	n/a	Consumer Non-Durables	Farming/Seeds/Milling	http://www.nasdaq.com/symbol/bti
CAK	CAMAC Energy Inc.	0.6107	95211576.18	n/a	n/a	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/cak
CDY	Cardero Resource Corporation	0.44	44608629.12	n/a	n/a	Basic Industries	Precious Metals	http://www.nasdaq.com/symbol/cdy
CXM	"Cardium Therapeutics, Inc."	0.1925	24874341.03	n/a	n/a	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	http://www.nasdaq.com/symbol/cxm
ROX	"Castle Brands, Inc."	0.2801	30397096.51	n/a	2006	Consumer Non-Durables	Beverages (Production/Distribution)	http://www.nasdaq.com/symbol/rox
CAW	"CCA Industries, Inc."	4.4	31039544.8	n/a	n/a	Consumer Non-Durables	Package Goods/Cosmetics	http://www.nasdaq.com/symbol/caw
CVM	Cel-Sci Corporation	0.2775	75816699.63	n/a	n/a	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	http://www.nasdaq.com/symbol/cvm
CEF	Central Fund of Canada Limited	21.55	5483024965	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/cef
GTU	Central Gold Trust	63.6	1227416400	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/gtu
CET	Central Securities Corporation	20.16	461868341.8	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/cet
CCF	Chase Corporation	18.99	172157206.2	n/a	n/a	Consumer Durables	Building Products	http://www.nasdaq.com/symbol/ccf
CQP	"Cheniere Energy Partners, LP"	21.6	5937242134	n/a	2007	Public Utilities	Oil/Gas Transmission	http://www.nasdaq.com/symbol/cqp
LNG	"Cheniere Energy, Inc."	19.5	4356271998	n/a	n/a	Public Utilities	Oil/Gas Transmission	http://www.nasdaq.com/symbol/lng
CVR	Chicago Rivet & Machine Co.	19.23	18578718.36	n/a	n/a	Technology	Industrial Machinery/Components	http://www.nasdaq.com/symbol/cvr
CNAM	"China Armco Metals, Inc."	0.4805	8816563.324	n/a	n/a	Consumer Durables	Steel/Iron Ore	http://www.nasdaq.com/symbol/cnam
CBP	China Botanic Pharmaceutical Inc.	0.47	17502581.92	n/a	n/a	Consumer Durables	Major Pharmaceuticals	http://www.nasdaq.com/symbol/cbp
CHGS	"China GengSheng Minerals, Inc."	0.315	8442958.86	n/a	n/a	Consumer Durables	Miscellaneous manufacturing industries	http://www.nasdaq.com/symbol/chgs
CMFO	China Marine Food Group Limited	0.85	25264529.6	n/a	n/a	Consumer Non-Durables	Packaged Foods	http://www.nasdaq.com/symbol/cmfo
CNR	China Metro-Rural Holdings Limited	0.8	58835025.6	n/a	n/a	Finance	Real Estate	http://www.nasdaq.com/symbol/cnr
CPHI	"China Pharma Holdings, Inc."	0.26	11330684.82	n/a	n/a	Consumer Durables	Major Pharmaceuticals	http://www.nasdaq.com/symbol/cphi
SHZ	"China Shen Zhou Mining & Resources, Inc."	0.46	22809909.14	n/a	n/a	Basic Industries	Precious Metals	http://www.nasdaq.com/symbol/shz
CRC	"Chromcraft Revington, Inc."	0.52	3374961.72	n/a	1992	Consumer Durables	Home Furnishings	http://www.nasdaq.com/symbol/crc
MBA	CIBT Education Group Inc.	0.17	11933548.48	n/a	1992	Consumer Services	Other Consumer Services	http://www.nasdaq.com/symbol/mba
CKX	"CKX Lands, Inc."	13.78	26767581.1	n/a	n/a	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/ckx
CGR	"Claude Resources, Inc."	0.5885	102249264.4	n/a	n/a	Basic Industries	Precious Metals	http://www.nasdaq.com/symbol/cgr
GLV	Clough Global Allocation Fund	13.68	142745410.1	n/a	2004	n/a	n/a	http://www.nasdaq.com/symbol/glv
GLQ	Clough Global Equity Fund	13.23	236032527.2	n/a	2005	n/a	n/a	http://www.nasdaq.com/symbol/glq
GLO	Clough Global Opportunities Fund	12.04	622911782.4	n/a	1988	n/a	n/a	http://www.nasdaq.com/symbol/glo
CRV	"Coast Distribution System, Inc. (The)"	2	9855862	n/a	n/a	Capital Goods	Automotive Aftermarket	http://www.nasdaq.com/symbol/crv
MOC	Command Security Corporation	1.51	14596411.98	n/a	n/a	Consumer Services	Diversified Commercial Services	http://www.nasdaq.com/symbol/moc
BTC	Community Bankers Trust Corporation.	2.65	57390920.15	n/a	n/a	Finance	Major Banks	http://www.nasdaq.com/symbol/btc
CIX	CompX International Inc.	15.72	194803922	n/a	1998	Capital Goods	Industrial Machinery/Components	http://www.nasdaq.com/symbol/cix
LODE	"Comstock Mining, Inc."	2.2	95833102.2	n/a	n/a	Basic Industries	Precious Metals	http://www.nasdaq.com/symbol/lode
CTO	Consolidated-Tomoka Land Co.	32.38	189304554	n/a	n/a	Finance	Real Estate	http://www.nasdaq.com/symbol/cto
CEP	"Constellation Energy Partners, LLC"	1.17	27716209.56	n/a	n/a	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/cep
MCF	Contango Oil & Gas Company	43.15	655662178.8	n/a	1990	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/mcf
CUO	Continental Materials Corporation	14.06	22977948.68	n/a	n/a	Capital Goods	Building Materials	http://www.nasdaq.com/symbol/cuo
CMT	Core Molding Technologies Inc	6.75	49106358	n/a	1992	Consumer Non-Durables	Plastic Products	http://www.nasdaq.com/symbol/cmt
CRMD	CorMedix Inc	0.75	8556205.5	n/a	n/a	Consumer Durables	Major Pharmaceuticals	http://www.nasdaq.com/symbol/crmd
CRMD/WS	CorMedix Inc	0.11	0	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/crmd/ws
CFP	Cornerstone Progressive Return Fund	5.2	129835102.8	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/cfp
CRF	"Cornerstone Strategic Return Fund, Inc. (The)"	5.48	37017197.24	n/a	1994	n/a	n/a	http://www.nasdaq.com/symbol/crf
CLM	"Cornerstone Strategic Value Fund, Inc."	6.16	114449646.1	n/a	1987	n/a	n/a	http://www.nasdaq.com/symbol/clm
COVR	Cover-All Technologies Inc.	1.31	33906376.3	n/a	n/a	Technology	Computer Software: Prepackaged Software	http://www.nasdaq.com/symbol/covr
CVU	"CPI Aerostructures, Inc."	10.62	88713840.78	n/a	n/a	Capital Goods	Military/Government/Technical	http://www.nasdaq.com/symbol/cvu
CIK	"Credit Suisse Asset Management Income Fund, Inc."	4.1	205371829	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/cik
DHY	Credit Suisse High Yield Bond Fund	3.24	265160462.8	n/a	1998	n/a	n/a	http://www.nasdaq.com/symbol/dhy
EXE	"Crexendo, Inc."	2.65	28273382.65	n/a	n/a	Technology	EDP Services	http://www.nasdaq.com/symbol/exe
CXZ	Crosshair Energy Corp	0.113	7433386.114	n/a	n/a	Basic Industries	Mining & Quarrying of Nonmetallic Minerals (No Fuels)	http://www.nasdaq.com/symbol/cxz
CRVP	"Crystal Rock Holdings, Inc."	1	21380781	n/a	n/a	Consumer Non-Durables	Food Distributors	http://www.nasdaq.com/symbol/crvp
CTP	CTPartners Executive Search Inc.	4.7	32822736.7	n/a	2010	Technology	Diversified Commercial Services	http://www.nasdaq.com/symbol/ctp
QBC	Cubic Energy Inc	0.195	15057102.06	n/a	n/a	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/qbc
DXR	Daxor Corporation	7.62	31971249.24	n/a	n/a	Health Care	Medical/Dental Instruments	http://www.nasdaq.com/symbol/dxr
DEJ	Dejour Energy Inc.	0.2107	31376680	n/a	n/a	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/dej
VCF	"Delaware Investments Colorado Municipal Income Fund, Inc"	15.41	74539711	n/a	1993	n/a	n/a	http://www.nasdaq.com/symbol/vcf
VFL	Delaware Investments Florida Insured Municipal Income Fund	14.3	64756734.9	n/a	1993	n/a	n/a	http://www.nasdaq.com/symbol/vfl
VMM	"Delaware Investments Minnesota Municipal Income Fund II, Inc."	15.5	178327112.5	n/a	1993	n/a	n/a	http://www.nasdaq.com/symbol/vmm
DLA	"Delta Apparel, Inc."	13.88	115472605.8	n/a	n/a	Consumer Non-Durables	Apparel	http://www.nasdaq.com/symbol/dla
DNN	Denison Mine Corp	1.26	489895452.9	n/a	n/a	Basic Industries	Precious Metals	http://www.nasdaq.com/symbol/dnn
DGSE	"DGSE Companies, Inc."	5.37	65382886.08	n/a	n/a	Consumer Services	Consumer Specialties	http://www.nasdaq.com/symbol/dgse
DPW	Digital Power Corporation	0.7299	5009413.185	n/a	n/a	Capital Goods	Industrial Machinery/Components	http://www.nasdaq.com/symbol/dpw
DSS	"Document Security Systems, Inc."	2.51	54481977.17	n/a	n/a	Technology	EDP Services	http://www.nasdaq.com/symbol/dss
DMF	"Dreyfus Municipal Income, Inc."	10.67	220631155	n/a	1988	n/a	n/a	http://www.nasdaq.com/symbol/dmf
GRF	"Eagle Capital Growth Fund, Inc."	7	21875868	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/grf
ESTE	"Earthstone Energy, Inc."	15.74	27084006.88	n/a	n/a	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/este
EVM	Eaton Vance California Municipal Bond Fund	12.36	268906459	n/a	2002	n/a	n/a	http://www.nasdaq.com/symbol/evm
EIA	Eaton Vance California Municipal Bond Fund II	14.3	55537095.9	n/a	2002	n/a	n/a	http://www.nasdaq.com/symbol/eia
CEV	Eaton Vance California Municipal Income Trust	14.57	105658172.3	n/a	1999	n/a	n/a	http://www.nasdaq.com/symbol/cev
EVV	Eaton Vance Limited Duration Income Fund	16.78	1970220109	n/a	2003	n/a	n/a	http://www.nasdaq.com/symbol/evv
MAB	Eaton Vance Massachusetts Municipal Bond Fund	16.19	28621038.18	n/a	2002	n/a	n/a	http://www.nasdaq.com/symbol/mab
MMV	Eaton Vance Massachusetts Municipal Income Trust	15.44	42430725.76	n/a	1999	n/a	n/a	http://www.nasdaq.com/symbol/mmv
MIW	Eaton Vance Michigan Municipal Bond Fund	14.66	22194081.86	n/a	2002	n/a	n/a	http://www.nasdaq.com/symbol/miw
EMI	Eaton Vance Michigan Municipal Income Trust	14.16	29966723.04	n/a	1999	n/a	n/a	http://www.nasdaq.com/symbol/emi
EIM	Eaton Vance Municipal Bond Fund	14.3	974448889.7	n/a	2002	n/a	n/a	http://www.nasdaq.com/symbol/eim
EIV	Eaton Vance Municipal Bond Fund II	13.77	137801361	n/a	2002	n/a	n/a	http://www.nasdaq.com/symbol/eiv
EMJ	Eaton Vance New Jersey Municipal Bond Fund	16.2656	42383176.33	n/a	2002	n/a	n/a	http://www.nasdaq.com/symbol/emj
EVJ	Eaton Vance New Jersey Municipal Income Trust	15.43	72081059.84	n/a	1999	n/a	n/a	http://www.nasdaq.com/symbol/evj
ENX	Eaton Vance New York Municipal Bond Fund	14.19	225532638.9	n/a	2002	n/a	n/a	http://www.nasdaq.com/symbol/enx
NYH	Eaton Vance New York Municipal Bond Fund II	13.75	35284988.75	n/a	2002	n/a	n/a	http://www.nasdaq.com/symbol/nyh
EVY	Eaton Vance New York Municipal Income Trust	15.89	86876747.65	n/a	1999	n/a	n/a	http://www.nasdaq.com/symbol/evy
EIO	Eaton Vance Ohio Municipal Bond Fund	14.42	36553315.68	n/a	2002	n/a	n/a	http://www.nasdaq.com/symbol/eio
EVO	Eaton Vance Ohio Municipal Income Trust	16.8799	48213720.77	n/a	1999	n/a	n/a	http://www.nasdaq.com/symbol/evo
EIP	Eaton Vance Pennsylvania Municipal Bond Fund	15.7156	46496268.45	n/a	2002	n/a	n/a	http://www.nasdaq.com/symbol/eip
EVP	Eaton Vance Pennsylvania Municipal Income Trust	14.6599	39852263.79	n/a	1999	n/a	n/a	http://www.nasdaq.com/symbol/evp
ECBE	ECB Bancorp Inc	14.4388	41942418.23	n/a	n/a	Finance	Major Banks	http://www.nasdaq.com/symbol/ecbe
ELMD	"Electromed, Inc."	1.4	11359952.8	n/a	2010	Health Care	Biotechnology: Electromedical & Electrotherapeutic Apparatus	http://www.nasdaq.com/symbol/elmd
ETAK	Elephant Talk Communications Corp.	0.92	105533389.5	n/a	n/a	Public Utilities	Telecommunications Equipment	http://www.nasdaq.com/symbol/etak
ELLO	Ellomay Capital Ltd.	6.1	65247253.1	n/a	n/a	Capital Goods	Industrial Machinery/Components	http://www.nasdaq.com/symbol/ello
ECF	"Ellsworth Convertible Growth and Income Fund, Inc."	7.3	98212572.1	n/a	1986	n/a	n/a	http://www.nasdaq.com/symbol/ecf
EMAN	eMagin Corporation	3.69	87359056.29	n/a	n/a	Technology	Semiconductors	http://www.nasdaq.com/symbol/eman
EOX	"Emerald Oil, Inc."	5.27	125817808.7	n/a	n/a	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/eox
MSN	Emerson Radio Corporation	1.75	47477206	n/a	n/a	Consumer Non-Durables	Consumer Electronics/Appliances	http://www.nasdaq.com/symbol/msn
EGI	Entree Gold Inc	0.475	61216690.43	n/a	n/a	Basic Industries	Precious Metals	http://www.nasdaq.com/symbol/egi
EVI	"EnviroStarm, Inc."	1.73	12168356.36	n/a	n/a	Consumer Services	Other Consumer Services	http://www.nasdaq.com/symbol/evi
ERB	"ERBA Diagnostics, Inc."	0.86	37546070.06	n/a	1983	Consumer Durables	Major Pharmaceuticals	http://www.nasdaq.com/symbol/erb
ESP	Espey Mfg. & Electronics Corp.	25.65	59655307.95	n/a	n/a	Capital Goods	Industrial Machinery/Components	http://www.nasdaq.com/symbol/esp
ETUA	eUnits 2 Year U.S. Market Participation Trust	10.35	27100326.15	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/etua
ETUB	eUnits 2 Year U.S. Market Participation Trust	10.05	0	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/etub
EMXX	Eurasian Minerals Inc.	2.11	152029449.9	n/a	n/a	Basic Industries	Precious Metals	http://www.nasdaq.com/symbol/emxx
EVBN	"Evans Bancorp, Inc."	15.81	65728841.82	n/a	n/a	Finance	Major Banks	http://www.nasdaq.com/symbol/evbn
EVK	"Ever-Glory International Group, Inc."	2.05	30283153.5	n/a	n/a	Consumer Non-Durables	Apparel	http://www.nasdaq.com/symbol/evk
EPM	"Evolution Petroleum Corporation, Inc."	8.36	234514410.7	n/a	n/a	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/epm
EPM^A	"Evolution Petroleum Corporation, Inc."	27.95	0	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/epm^a
XRA	Exeter Resource Corporation	1.275	112719885.1	n/a	n/a	Basic Industries	Mining & Quarrying of Nonmetallic Minerals (No Fuels)	http://www.nasdaq.com/symbol/xra
FU	FAB Universal Corp.	3.36	68775369.6	n/a	n/a	Technology	Computer Software: Prepackaged Software	http://www.nasdaq.com/symbol/fu
FPP	FieldPoint Petroleum Corporation	3.89	31290911.04	n/a	n/a	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/fpp
FPP/WS	FieldPoint Petroleum Corporation	0.82	0	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/fpp/ws
MXN	"First American Minnesota Municipal Income Fund II, Inc."	16.52	24325799.12	n/a	2002	n/a	n/a	http://www.nasdaq.com/symbol/mxn
FEN	First Trust Energy Income and Growth Fund	31.35	518206878.8	n/a	2004	n/a	n/a	http://www.nasdaq.com/symbol/fen
FWV	"First West Virginia Bancorp, Inc."	15.5	26643353	n/a	n/a	Finance	Major Banks	http://www.nasdaq.com/symbol/fwv
BDL	"Flanigan&#39;s Enterprises, Inc."	7.75	14416914.25	n/a	n/a	Consumer Services	Restaurants	http://www.nasdaq.com/symbol/bdl
FSI	Flexible Solutions International Inc.	1.16	15277189.56	n/a	1998	Basic Industries	Major Chemicals	http://www.nasdaq.com/symbol/fsi
FFI	"Fortune Diversified Industries, Inc."	0.16	1965966.4	n/a	1983	Consumer Services	Telecommunications Equipment	http://www.nasdaq.com/symbol/ffi
FSP	Franklin Street Properties Corp.	12.8	1061598784	n/a	n/a	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/fsp
FTF	Franklin Templeton Limited Duration Income Trust	14.79	396528596.5	n/a	2003	n/a	n/a	http://www.nasdaq.com/symbol/ftf
FOH	Frederick&#39;s of Hollywood Group	0.18	7020144.18	n/a	n/a	Consumer Non-Durables	Apparel	http://www.nasdaq.com/symbol/foh
FRD	Friedman Industries Inc.	10.28	69898284.32	n/a	1972	Capital Goods	Steel/Iron Ore	http://www.nasdaq.com/symbol/frd
FRS	"Frisch&#39;s Restaurants, Inc."	20.05	101226655.6	n/a	n/a	Consumer Services	Restaurants	http://www.nasdaq.com/symbol/frs
FLL	"Full House Resorts, Inc."	3.46	64631696.26	n/a	n/a	Consumer Services	Hotels/Resorts	http://www.nasdaq.com/symbol/fll
GLU	Gabelli Global Utility	21.0801	65092861.35	n/a	2004	n/a	n/a	http://www.nasdaq.com/symbol/glu
GGN	"GAMCO Global Gold, Natural Reources & Income Trust by Gabelli"	13.29	1142265147	n/a	2005	n/a	n/a	http://www.nasdaq.com/symbol/ggn
GGN^A	"GAMCO Global Gold, Natural Reources & Income Trust by Gabelli"	25.38	0	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/ggn^a
EGAS	Gas Natural Inc.	9.58	80171446.66	n/a	n/a	Public Utilities	Oil/Gas Transmission	http://www.nasdaq.com/symbol/egas
GSX	GASCO ENERGY INC	0.07	11882498.67	n/a	n/a	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/gsx
GST	Gastar Exploration	1.23	80765567.49	n/a	n/a	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/gst
GST^A	Gastar Exploration	18.3	0	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/gst^a
JOB	"General Employment Enterprises, Inc."	0.55	11934821.25	n/a	n/a	Technology	Diversified Commercial Services	http://www.nasdaq.com/symbol/job
GMO	"General Moly, Inc"	4.15	377414479.2	n/a	n/a	Basic Industries	Precious Metals	http://www.nasdaq.com/symbol/gmo
GGR	GeoGlobal Resources Inc.	0.06	8300583.06	n/a	n/a	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/ggr
GPR	GeoPetro Resources Co	0.0848	3856542.965	n/a	n/a	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/gpr
GIG	"GigOptix, Inc."	2.1	46342025.1	n/a	n/a	Technology	Semiconductors	http://www.nasdaq.com/symbol/gig
GSB	"GlobalSCAPE, Inc."	1.49	27442769.34	n/a	n/a	Technology	Computer Software: Prepackaged Software	http://www.nasdaq.com/symbol/gsb
GLOW	"Glowpoint, Inc."	1.99	57302639.04	n/a	n/a	Public Utilities	Telecommunications Equipment	http://www.nasdaq.com/symbol/glow
GRZ	Gold Reserve Inc	3.13	226021910.5	n/a	n/a	Basic Industries	Precious Metals	http://www.nasdaq.com/symbol/grz
GORO	Gold Resource Corporation	15.27	804413964.6	n/a	n/a	Basic Industries	Precious Metals	http://www.nasdaq.com/symbol/goro
